,BTS,GROUPE,X,Y,commune_id
7646,16X972,AUXILIARY BL,2.88801,36.6784,2768.0
7647,34X088,SETIF_AUX,4.74519,36.0681,2752.0
7651,31X379,ORAN_AUX,-0.61658,35.6544,2802.0
7656,23X006,CONSTANTINE_AUX,7.76877,36.9043,2731.0
7658,04X036,CONSTANTINE_AUX,7.39588,35.8024,2733.0
7665,16X888,AUXILIARY BL,3.0751,36.7201,2691.0
7668,15X191,CENTRE_AUX,4.20682,36.6322,3183.0
7670,19X235,SETIF_AUX,5.10378,36.3314,2715.0
7678,24X067,CONSTANTINE_AUX,7.21722,36.2815,2679.0
7684,35X123,CENTRE_AUX,3.9107,36.8999,3304.0
7688,19X241,SETIF_AUX,5.67099,36.4662,3315.0
7691,10X094,CENTRE_AUX,3.90488,36.375,2920.0
7695,16X560,ALGER_AUX,3.19217,36.6778,3014.0
7701,16X916,AUXILIARY BL,3.3541,36.7702,2796.0
7702,29X086,ORAN_AUX,0.39372,35.457,3654.0
7709,44X039,CENTRE_AUX,2.54586,36.166,3655.0
7711,15X067,CENTRE_AUX,4.16935,36.813,2675.0
7715,13X035,TLEMCEN_AUX,-1.74603,35.0106,2927.0
7718,20X021,AUXILIARY BL,0.01772,34.6473,3382.0
7720,43X077,AUXILIARY BL,6.12185,36.4305,3498.0
7725,02X005,AUXILIARY BL,1.33156,36.164,2895.0
7726,08X052,SUD_AUX,-1.07297,29.2536,3656.0
7727,06X102,SETIF_AUX,5.0785,36.7544,2719.0
7733,16X074,ALGER_AUX,2.97968,36.75871,2716.0
7734,48X039,ORAN_AUX,0.32139,35.5874,3586.0
7736,36X035,CONSTANTINE_AUX,8.53637,36.7886,3657.0
7738,45X046,AUXILIARY BL,-0.28396,33.5477,2770.0
7742,07X023,SETIF_AUX,5.36154,34.6965,3658.0
7764,16X068,ALGER_AUX,3.0212,36.7697,2931.0
7766,48X117,ORAN_AUX,0.56745,35.7443,2843.0
7769,14X113,ORAN_AUX,1.96653,35.5533,3659.0
7770,24X034,CONSTANTINE_AUX,7.07219,36.2599,3660.0
7772,03X077,SUD_AUX,2.8736,33.8115,2853.0
7777,14X142,SUD_AUX,1.11184,34.9086,2832.0
7780,26X087,CENTRE_AUX,3.57653,35.9295,3419.0
7782,04X089,CONSTANTINE_AUX,7.37879,35.7908,2733.0
7785,44X014,AUXILIARY BL,2.4816,36.3722,3333.0
7788,16X986,ALGER_AUX,3.059,36.7866,2886.0
7789,06X141,SETIF_AUX,5.36482,36.64172,3471.0
7793,19X300,SETIF_AUX,5.69065,36.17138,2986.0
7798,29X035,ORAN_AUX,0.29658,35.5138,3460.0
7799,27X156,TLEMCEN_AUX,0.31723,35.7959,3101.0
7800,16X595,ALGER_AUX,3.33668,36.727,2796.0
7801,23X052,AUXILIARY BL,7.73891,36.8927,2731.0
7804,16X191,ALGER_AUX,3.05302,36.7121,2811.0
7808,20X074,AUXILIARY BL,0.13585,34.8467,2841.0
7815,26X128,CENTRE_AUX,2.7646,36.2562,2730.0
7816,42X018,AUXILIARY BL,2.72817,36.6257,3376.0
7819,23X072,CONSTANTINE_AUX,7.72388,36.8801,2731.0
7826,16X1064,ALGER_AUX,3.00974,36.73163,3066.0
7838,31X131,ORAN_AUX,-0.56567,35.7389,2833.0
7839,47X009,SUD_AUX,3.63154,32.2652,2941.0
7844,25X084,CONSTANTINE_AUX,6.63028,36.315,2764.0
7845,10X135,CENTRE_AUX,3.81509,36.2195,3527.0
7846,13X039,TLEMCEN_AUX,-1.87,35.0958,3090.0
7856,04X118,AUXILIARY BL,7.38235,35.796,2733.0
7857,28X013,SETIF_AUX,4.78226,35.808,3395.0
7860,15X137,CENTRE_AUX,3.967,36.7385,2678.0
7864,16X1036,ALGER_AUX,3.00307,36.7959,3081.0
7865,13X208,TLEMCEN_AUX,-1.76543,34.8454,2692.0
