,BTS,X,Y,commune_id
77,14X120,1.34389,35.3634,2740.0
78,35X079,3.30064,36.7009,2741.0
79,16X529,2.94603,36.665,2705.0
80,25X175,6.47736,36.3828,2742.0
81,44X002,1.95363,36.2557,2743.0
82,48X165,0.9324,35.95526,2681.0
83,42X033,2.41703,36.5064,2744.0
84,13X006,-1.31744,34.8793,2745.0
85,24X009,7.43888,36.5014,2702.0
86,34X027,5.02827,36.1761,2746.0
87,24X068,7.39941,36.5055,2747.0
88,12X041,8.1005,35.3948,2697.0
89,36X031,7.85952,36.833,2748.0
90,45X001,-0.31325,33.2662,2749.0
91,46X114,-1.0994,35.3902,2750.0
92,46X087,-1.01393,35.5281,2751.0
93,34X076,4.78665,36.0806,2752.0
94,35X001,3.26061,36.682,2753.0
95,21X027,6.91593,36.8817,2754.0
96,36X016,8.31326,36.7653,2755.0
97,26X020,3.15265,35.8921,2756.0
98,09X033,2.84472,36.4878,2757.0
99,17X031,3.2261,34.365,2758.0
100,26X041,2.91327,36.1384,2759.0
101,16X877,2.94401,36.7168,2760.0
102,16X861,3.1895,36.6963,2761.0
103,38X032,1.81005,35.6089,2762.0
104,14X162,1.0585,35.0662,2763.0
105,25X089,6.58898,36.3885,2764.0
106,04X038,6.29295,35.895,2765.0
107,09X077,2.80055,36.4833,2757.0
108,42X006,2.45639,36.5833,2766.0
109,25X099,6.58361,36.252,2693.0
110,07X086,5.55454,34.6658,2767.0
111,05X012,5.36748,35.3848,2698.0
112,09X099,2.85333,36.4877,2757.0
113,16X1484,2.90188,36.66599,2768.0
114,26X039,3.31127,36.4156,2769.0
115,45X056,-0.27546,33.5502,2770.0
116,26X019,3.41328,35.9391,2771.0
117,19X042,5.40667,36.2822,2772.0
118,26X121,3.14638,35.8896,2756.0
119,16X422,3.0361,36.8015,2773.0
120,16X622,3.24371,36.7853,2774.0
121,27X063,0.42417,36.101,2775.0
123,25X036,6.69221,36.2614,2693.0
124,17X002,3.03515,35.0689,2776.0
125,36X077,8.10579,36.5079,2777.0
126,34X014,4.89061,35.8807,2778.0
127,02X079,1.2551,36.5026,2687.0
128,01X121,-0.22519,28.32967,2779.0
129,31X013,-0.784,35.7537,2780.0
130,05X198,6.23504,35.0933,2781.0
131,16X054,2.9779,36.7013,2782.0
132,24X040,7.47537,36.5476,2783.0
133,05X003,6.16814,35.5475,2784.0
134,18X081,5.75695,36.8087,2785.0
135,24X084,7.41944,36.4714,2786.0
136,31X027,-0.65553,35.6913,2787.0
137,44X115,2.22638,36.3025,2788.0
138,17X039,3.2491,34.6746,2703.0
139,09X122,2.81324,36.5685,2674.0
140,48X115,0.90378,35.9614,2681.0
141,23X011,7.75338,36.898,2731.0
142,35X057,3.87103,36.8094,2789.0
143,02X008,1.39056,36.1971,2790.0
144,18X136,5.73748,36.804,2785.0
145,16X397,3.25982,36.778,2791.0
146,31X060,-0.46475,35.7268,2792.0
147,04X009,6.69935,35.92508,2793.0
148,23X119,7.74896,36.8991,2731.0
149,13X048,-2.02861,34.9672,2794.0
150,04X017,7.18499,35.9352,2795.0
151,04X084,7.38975,35.7896,2733.0
152,16X853,3.3386,36.7441,2796.0
153,32X049,1.0121,33.679,2797.0
154,36X088,8.42805,36.8844,2798.0
155,02X199,1.43201,36.1135,2799.0
156,23X251,7.52788,36.87564,2800.0
157,48X037,0.92564,35.5803,2801.0
158,31X136,-0.62372,35.6476,2802.0
